0,-1
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,-1
36,-1
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,2
79,2
80,4
81,6
82,6
83,6
84,4
85,4
86,6
87,6
88,6
89,6
90,4
91,6
92,6
93,4
94,4
95,4
96,6
97,4
98,4
99,6
100,6
101,6
102,2
103,6
104,6
105,6
106,6
107,6
108,6
109,4
110,4
111,4
112,6
113,6
114,6
115,6
116,6
117,2
118,4
119,4
120,-1
121,-1
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,-1
152,4
153,-1
154,-1
155,-1
156,-1
157,-1
158,-1
159,-1
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,4
169,4
170,4
171,4
172,4
173,-1
174,-1
175,-1
176,-1
177,4
178,4
179,4
180,-1
181,-1
182,4
183,4
184,4
185,-1
186,4
187,4
188,4
189,4
190,4
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,-1
199,2
200,-1
201,-1
202,2
203,4
204,4
205,2
206,2
207,2
208,4
209,4
210,4
211,4
212,4
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,2
221,2
222,-1
223,-1
224,2
225,4
226,4
227,2
228,2
229,2
230,-1
231,4
232,5
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,4
241,4
242,4
243,4
244,5
245,5
246,6
247,4
248,4
249,4
250,4
251,4
252,4
253,4
254,-1
255,-1
256,6
257,5
258,5
259,-1
260,5
261,5
262,-1
263,-1
264,-1
265,-1
266,-1
267,4
268,-1
269,-1
270,-1
271,-1
272,4
273,4
274,-1
275,4
276,-1
277,4
278,4
279,-1
280,4
281,4
282,-1
283,5
284,5
285,5
286,5
287,4
288,6
289,4
290,4
291,4
292,5
293,4
294,5
295,4
296,5
297,5
298,5
299,5
300,5
301,5
302,5
303,-1
304,-1
305,3
306,3
307,-1
308,3
309,3
310,5
311,3
312,3
313,5
314,3
315,5
316,3
317,3
318,3
319,3
320,3
321,5
322,3
323,3
324,3
325,3
326,5
327,3
328,5
329,5
330,5
331,5
332,6
333,2
334,4
335,-1
336,4
337,4
